2020-03-31 17:33:52,026 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 09:03:31,549 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:01:49,334 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:02:28,760 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:03:15,731 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:04:10,605 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:05:15,363 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:06:25,014 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:07:20,101 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:22:20,905 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:23:27,550 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:24:09,926 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:24:50,038 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:25:12,460 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 10:54:33,992 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:36:46,807 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:37:03,122 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:37:29,013 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:44:29,768 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:44:42,903 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:45:16,563 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
2020-04-02 15:45:27,608 Namespace(caption_file_path='datasets\\captions.csv', do_sampling=1, image_file_path='datasets\\images', test_file_path='datasets\\test_list.csv', train_file_path='datasets\\train_list.csv')
